predicted_answer,actual_answer,사고원인,인적사고
작업 안전 교육 강화와 철근 주변 안전 표시 설치를 포함한 재발 방지 대책 및 정기적인 현장 안전 점검 계획 수립.,작업구간 및 내용 등 안전작업방법 숙지와 위험요인 및 사례 등 안전교육 실시.,콘크리트 타설 후 PC철근에 붙은 콘크리트를 털어내는 정리작업 중 이동 시 철근에 발이 걸려 넘어지며 얼굴에 상처를 입음(열상),넘어짐(미끄러짐)
안전 교육 강화와 신호 체계 개선을 통한 재발 방지 대책 및 향후 조치 계획 수립.,배관 등의 자재 운반 및 적재 시 2인1조 배치와 신호체계 확립 후 작업 이행.,콘크리트 타설용 배관을 야적장에 운반하여 적재중 신호 불일치로 인해 배관에 손가락(우 제2수지)협착.,끼임
"작업자 안전 교육 강화 및 안전 자세 교육 실시, 사다리 사용 시 안전 절차 준수 의무화, 작업 자세 안정성 확보를 위한 안전 장비 제공 및 사용 강제화, 정기적인 안전 점검 및 위험 요인 사전 식별 시스템 구축, 사고 사례 공유 및 안전 의식 제고 캠페인 실시.","사다리 사용 전 공구통 및 주머니의 사전 이동과 몸만 이동, 사다리 사용 시 항시 3점 터치 유지 교육의 주기적 시행.",1) 작업자세의 불안정- 사다리 사용시 왼손에 물건(수평자)을 들고 내려옴에 따라 사다리를 제대로 잡지 않아 불안전하게 착지하면서 몸의 균형을 유지 못해 사고 발생2) 근로자 안전교육 미흡- 가설비계 및 사다리 등 승하강시 안전계단 이용방법에 대한 숙지 미흡- 평상시 동일지역 및 가설비계 승하강을 많이 이용하였음에 대한 안전의식 결여,부딪힘
"작업 전 찬넬 분리 상태를 엄격히 점검하고, 정기적인 안전 교육을 통해 인식 개선을 실시한다.",작업 전 작업순서 및 방법에 대한 사전 조율과 안전교육 및 TBM시 올바른 작업 방법과 자세에 관한 교육 실시.,와이어로 인상 전 찬넬 분리 상태 확인 미흡,부딪힘
안전장비 착용 의무화 및 정기적인 안전 교육 실시로 재발 방지 대책 마련.,작업자 안전교육 강화를 통한 재발 방지 대책 및 향후 조치 계획.,거푸집 작업중 거푸집에 손이 찍혀 부상,물체에 맞음
신호원 배치 확대 및 실시간 소통 시스템 도입.,"무전기를 지급받은 크레인 신호수가 작업에 직접 가담하지 않고 신호 업무만 전담하며, 기초 앙카와 Basic Mast 핀홀을 맞출 때 도구를 사용하고, 핀홀 내부 손가락을 넣어보는 불안전 행동에 대한 특별 교육 실시.",반대편 작업자와의 소통 및 신호체계 부족,끼임
타워크레인 운용 시 자재의 견고한 결박 상태를 엄격히 점검하고 확인 절차를 강화한다.,타워크레인 이동 자재 결박 방법 교육 및 신호수 교육 이수 후 재배치와 타워크레인 자재 인양 교육 및 신호수 배치 상태 수시 확인.,타워크레인으로 자재 인양 중 자재 결박상태 불량,물체에 맞음
작업장 트렌치 구간 통행 시 안전 교육 강화 및 경고 표시 설치.,"안전회의를 통한 현장 소장님들 특별안전교육 실시, 미 숙련공 관련 관리감독자의 오전 및 오후 T.B.M 시 주의사항 이행 여부 확인, 그리고 오전 및 오후 현장 점검 시 불안전한 행동 근로자에 대한 5분 특별안전교육 실시.",작업장소 주변 트렌치 구간 통행 시 부주의,넘어짐(미끄러짐)
안전 교육 강화와 함께 작업 현장에 추가적인 안전 장벽 설치 및 돌풍 예측 시스템 도입을 통한 재발 방지 대책을 마련합니다. 정기적인 안전 점검과 작업자들의 안전 의식 제고를 위한 훈련을 지속적으로 실시할 계획입니다.,"자재 인양방법을 크레인 사용에서 전동윈치 사용으로 변경하여 풍하중 영향을 최소화하고, 안전고리 체결 교육 및 점검 강화를 통해 충돌에 의한 2차 추락사고를 예방하며, 사고 근로자의 건강상태를 지속적으로 확인하고 순간풍속 변화에 대비할 수 있는 시공·안전계획을 수립하는 조치.",외부벽체판넬설치 중 순간 돌풍에 의해 판넬이 작업자의 어깨를 충격,물체에 맞음
안전 교육 강화와 함께 개인 보호 장비 착용 의무화 및 작업 감독 체계 개선을 통해 부주의로 인한 추락사고 예방.,시공현장 비계 발판 안전시설 보강과 안전관리 및 안전교육 철저를 통한 재발 방지 대책.,작업자의 부주의로 인한 추락사고,떨어짐(5미터 이상 ~ 10미터 미만)
"이동 시 안전한 통로 확보 및 정리정돈 철저히 실시하며, 필요한 가설계단 설치 의무화하고 정기적인 안전점검 실시.","근로자 지정된 이동통로 확보, 단차부 높이 과다시 가설계단 설치, 전 근로자 동종사고 예방 교육 실시, 작업장 및 이동통로 정리정돈 철저 실시, 동종 사고 예방 교육 실시, 현장 안전조치 실시로 인한 재발 방지 대책 마련.","근로자 이동통로 미확보, 정리정돈 미실시, 이동로 가설계단 미설치로 인한 넘어짐 사고",넘어짐(기타)
안전 교육 강화와 현장 감독 체계 개선을 통해 신호 체계 준수와 잭서포트 하강 시 안전 점검 의무화를 실시합니다. 정기적인 안전 점검과 장비 유지보수를 통해 사고 위험 요소를 사전에 제거합니다.,작업 방법의 재교육과 장비 운전원 특별교육을 통한 독단 작업 금지 및 사고 재발 방지를 위한 시공자와 감리자에게 안전조치 지시.,"지게차 운전원이 신호없이 잭서포트를 하강함, 잭서포트 하부 플레이트와 콘크리트 바닥 사이에 손가락 협착",끼임
"안전 발판 및 안전 그물 설치 의무화, 정기적인 안전 교육 강화 및 부주의 예방을 위한 작업 절차 엄격히 준수하도록 관리 체계 개선.","고소작업 시 근로자에 대한 안전 교육 및 2인 1조 작업 시행, 떨어질 위험이 있는 장소에서의 개인 보호구 착용, 근로자 부주의 방지를 위한 작업 전 TBM 시 위험 주지 철저.",추락에 대항 안전조취 미흡 및 작업부주위,떨어짐(2미터 미만)
안전 교육 강화 및 정기적인 안전 점검 실시로 불안전 행동 개선 유도.,철저한 안전교육 실시를 통한 재발 방지 대책과 향후 조치 계획.,재해자의 불안전한 행동,끼임
안전 교육 강화와 작업 전 안전 점검 실시로 재발 방지 대책 마련.,작업 전 사전 안전 교육의 철저와 안전 보호대 착용 지시를 통한 재발 방지 대책.,창호 해체 작업 중 유리에 손이 베임,"절단, 베임"
"안전 발판 설치 및 정기적인 안전 점검 강화를 통해 미끄러짐 위험을 최소화하고, 작업자들에게 안전하게 내려오는 방법 교육 실시.",안전교육 실시 및 상시 현장 관리에 대한 재발 방지 대책과 향후 조치 계획.,2019. 9. 5. 16:30분경 전남 광양시 금호동 소재 광양제철남초등학교 급식실 및 다목적강당 증축공사 현장에서 내부 벽체 철근 배근을 틀비계 위에서 내려오던중 미끄러저 넘어짐,떨어짐(분류불능)
이동통로 확보 강화와 정기적인 안전 교육 실시를 통한 재발 방지 대책 및 향후 조치 계획 수립.,이동통로 확보 및 개인보호구 착용에 대한 교육 실시와 준공인가전사용허가로 인한 별도 향후조치 없음.,이동통로 미확보로 인한 이동중 자재에 부딪침,부딪힘
"작업자들에게 해체 순서 준수와 안전장치 사용의 중요성을 강조하는 교육 실시와 함께, 정기적인 안전 점검 및 절차 준수 확인을 통해 재발 방지를 도모하며, 향후에는 점검 결과를 바탕으로 작업 지침을 개선하고 추가적인 안전 장비 도입을 검토합니다.",근로자 안전교육 및 작업 전 이상 여부 점검과 철저한 지시를 통한 재발 방지 대책 강구.,작업시 거푸집 해체순서 및 안전장치 미확인으로 사고발생,넘어짐(기타)
작업발판의 미끄럼 방지 처리 강화 및 작업자 안전 교육 강화를 통해 재발 방지. 정기적인 안전 점검 실시와 안전 장비 사용 의무화를 포함한 조치 계획 수립.,"작업발판 설치 및 고정 상태 확인, 해당 작업자 작업방법 및 순서에 관한 특별안전교육 실시, 휴일 작업 시 관리감독자 상주를 통한 재발 방지 대책과 향후 조치 계획.",시스템동바리 상부 작업발판 설치 작업 중 미끄러져 중심을 잃고 수평재에 갈비뼈 충돌함.,넘어짐(미끄러짐)
"향후 정비작업 시 일산화탄소 감지기 설치 및 정기 점검 의무화, 안전 교육 강화 후 작업 재개 승인.","안전사고 예방 교육 실시, 안전시설물 및 안전(경고) 표지판 설치, 안전 및 구조 물품 구입 등의 조치 계획.",양수기로 인한 맨홀 내부에서 일산화탄소 발생,질식
안전장비 착용 의무화 및 정기적인 안전 교육 실시 계획 수립.,현장 노무자의 업무상 부주의 또는 사고 발생 방지를 위한 단체 회의 실시와 작업자들에게 안전 강조 계획.,파이프 제거하다가 손에 파이프가 떨어져서 왼쪽 검지 손가락이 골절 되었음.,물체에 맞음
"안전 교육 강화와 함께 작업 전 안전 점검 절차를 엄격히 시행하고, 작업자 개인 보호 장비 착용 의무화를 통해 재발 방지를 위한 조치를 취할 계획입니다.",안전사고 재발 방지를 위한 안전교육 강화 및 현장 감독 철저.,벌목작업중 작업자의 단순과실로 앤진톱에 부딪쳐 부상을 당함,"절단, 베임"
안전 통로 확보 및 안전 작업 순서 준수 강화 교육 실시.,"산업재해 예방을 위한 근로자 일일안전교육 및 정기안전교육의 주기적 실시, 관리감독자의 현장 순회 강화와 위험 작업 시 안전관리자의 입회, 개인보호구 착용의 철저, 작업 시작 전 위험요인 확인 및 작업 수칙 준수의 철저, 산재보험 처리와 재발방지 대책 이행의 철저.",작업자의 작업 습관에 따른 안전통로 미사용 및 편리성에 따른 안전작업순서 미실시,떨어짐(2미터 이상 ~ 3미터 미만)
"안전 교육 강화와 함께 통행로 표시 및 철근 보호 장치 설치를 통해 재발 방지 대책을 마련하고, 정기적인 안전 점검과 위험 요소 모니터링을 향후 조치 계획으로 삼겠습니다.","정해진 통행로 사용과 현장 내 정리정돈, 보행자통로 설치 및 이동간 전방주시 교육, 작업장 정리정돈 실시.",통행로가 아닌 장소를 이동하다 철근에 미끄러져 사고 발생,넘어짐(미끄러짐)
자재 품질 관리 강화 및 정기적인 점검 실시로 재발 방지. 향후 모든 매설작업 시 자재 상태 사전 확인 의무화.,안전교육 실시와 안전관리 강화를 통한 재발 방지 대책.,오수맨홀 인양고리 탈락(자재 결함 확인 필요),물체에 맞음
"굴삭기 운전자에게 현장 시야 확보 및 작업 중 주변 작업자 확인 의무 강화 교육 실시, 작업 구역 내 안전 경계 설정 및 신호자 배치 의무화","현장 관리감독자 교육을 통한 작업 혼재 발생 시 철저한 감독, 굴삭기 운전원의 작업 시 주변 근로자 확인, 파일공사 작업구간의 근로자 출입 및 접근 금지 시행.","인접장소에서 작업중인 굴삭기 운전자가 주변에서 작업하고 있던  PHC파일 자재인양 작업자를 확인하지 못하였고, 야적된 PHC파일을 접촉하여 파일이 이동됨(굴러감)",끼임
안전 교육 강화와 실시간 교통 상황 모니터링 시스템 도입을 통한 재발 방지 대책 및 향후 조치 계획 수립.,야간작업 간 '고속도로 작업장 교통관리기준'에 맞는 안전시설물 설치 및 관리와 사고내용 전 공구 전파 및 안전교육 실시.,인천공항 리무진버스 차량이 인천방향 3차로 주행 중 졸음운전으로 선행하던 살수차 후미를 추돌한 교통사고,교통사고
자재 관리 강화 및 교육 실시를 통해 석고보드의 적절한 야적 방법을 확립하고 지속적인 안전 점검을 실시한다.,"자재 이동 전 자재 야적상태 확인 철저, 2인 1조 작업 실시, 무리한 작업 금지 및 공도구 이용 자재 운반교육 실시와 현장 내 자재 야적기준 교육 및 관리 통제를 통한 재발 방지 대책 마련.",석고보드 자재 야적 불량,깔림
안전 발판 설치 시 안정성 검토 강화 및 유도자 배치 의무화. 정기적인 안전 교육 실시로 인식 제고.,"장비하역 시 유도자 배치, 승강발판 사용 시 지반지지상태 확인, 장비조종원 특별교육 실시, 안전관리자 교육, 사고사례 전파를 통한 재발 방지 대책 마련.","트럭에서 굴착기를 내리기 위해 지면에 승강발판을 설치하였으나, 내려오던 도중 승강발판의 지지가 굴착기의 안정적인 이동에 충분하지 않았으며 유도자가 없이 내려왔기 때문에 승강발판의 안정성을 제대로 확인하지 못함",깔림
진동기 연결 전선의 안전한 이동 경로 확보 및 철근 주변 작업 시 주의 강화를 위한 교육 실시.,안전교육 진행을 통한 재발 방지 대책 및 향후 조치 계획.,타설 다짐을 위한 진동기 연결 전선을 옮기던 중 배근한 철근에 걸려 넘어짐,넘어짐(물체에 걸림)
"작업 절차 개선 및 안전 교육 강화를 통해 석재 고정 방법을 엄격히 관리하고, 정기적인 안전 점검 실시로 위험 요소 사전 차단.",공정별 안전교육 철저 및 개인방호구 착용 확인과 단종업체 관리자 상주 및 2인1조 작업 지시의 이행.,작업자 실수로 마감 석재 건식작업시 가고정된 석재가 이탈함,물체에 맞음
"작업자 안전 교육 강화와 안전장비 사용 의무화, 정기적인 안전 점검 실시 및 사고 발생 시 신속한 응급 처치와 병원 이송 체계 구축.",공사현장 안전교육 및 안전관리 철저를 통한 재발 방지 대책.,2019년 7월 24일 수요일 오후3시경 4층에서 사다리를 이용하여 수도배관을 용접하고 내려오던중 발이 미끄러져 사다리에서 떨어져 척추뼈가 골절이 된 사고,떨어짐(분류불능)
"작업자 안전 교육 강화와 작업발판의 안정성 점검을 정기적으로 실시하며, 특히 발판 높이에 따른 안전 지침을 명확히 정립하고 준수하도록 관리할 계획입니다. 또한, 작업 시작 전 안전 점검 리스트를 통해 위험 요소를 사전에 식별하고 대응할 수 있도록 합니다.",작업 전 안전교육 및 작업 중 안전관리 철저를 위한 행정지도 계획.,"오전 9시30분경 지하 1층 벽체 석공사 작업 중 작업발판(높이75cm)에서 내려오다가 균형을 잃고 넘어진 것으로, 부딫히거나 걸려넘어진게 아닌 단순 과실로 보여짐",넘어짐(기타)
작업발판 사용 시 안전 손잡이 설치 의무화 및 작업자 안전 교육 강화를 통해 넘어짐 사고 재발 방지. 정기적인 안전 점검 실시로 위험 요소 사전 식별 및 개선 조치 취하기.,작업자 안전교육 재실시를 통한 재발 방지 대책 마련.,이동식작업발판에서 내려오던중 발을 헛딛어 넘어지면서 다른작업대에 왼쪽 가슴 충돌,넘어짐(기타)
"작업 환경 모니터링 강화 및 보온 조치 실시, 틈새 보강 및 안전 장치 설치 의무화, 정기적인 안전 점검과 교육 실시를 통한 재발 방지 대책 및 향후 조치 계획 수립.",슬라브 코너 자연탈형 방지를 위한 별도의 긴결재 삽입과 형틀 작업자에 대한 긴결재 삽입 교육 및 관리감독을 포함한 재발 방지 대책 수립 및 이행 확인과 근로자 전파 교육 확인.,"영하 및 영상 날씨가 반복이 되면서 거푸집 틈새가 벌어지며 별도의 해체의도 없이 자연탈형으로 인한 자재낙하, 사고 발생",물체에 맞음
"작업 승인 절차 강화 및 모든 작업 전 사전 승인 확인 의무화, 사고 발생 시 즉시 보고 체계 구축.","차단승인시간 전후 임의작업 금지, 열차지연 등 열차정보의 작업현장과 해당 역 간 소통 강화, 선로인접 장비작업의 안전관리 강화 및 재발방지대책 수립 시 이행 철저.",상선 차단작업 승인 전(03시 이후 승인 예정) 임의작업 시행에 따른 접촉사고,교통사고
"안전 통로 확보 및 통로 내 자재 적치 금지 강화, 정기적인 안전 교육 실시 및 개인 보호 장비 착용 의무화.",근로자 대상 안전교육 시행.,이동중 발목 접질림,기타
안전 교육 강화와 함께 작업 현장의 안전 장비 사용 점검 및 고정 장치 개선을 통해 재발 방지 대책을 마련합니다. 정기적인 안전 점검과 감독 체계를 구축하여 지속적인 안전 관리를 실시합니다.,안전교육 및 현장 안전관리 철저와 안전관리 행정지도를 통한 재발 방지 대책 마련.,작업자 부주의 및 사다리 고정 미흡,넘어짐(기타)
양중 작업 시 안전 교육 강화 및 2줄걸이 준수 점검 실시,"작업 전 부재의 중량, 형태, 무게중심에 대한 충분한 사전검토와 작업 계획 수립, 근로자 안전교육 강화, 작업 전 장비 및 달기구 사전점검을 통한 적극적인 사고 예방, 불안전한 행동과 무의식 행동 방지를 위한 안전조회 시 수시 교육, 대구국토에서 발주한 전 현장에 유사사례 발생 방지를 위한 전파 및 교육 실시.",양중용 달기구는 2줄걸이를 해야 하나 외줄걸이로 작업 중 사고 발생,물체에 맞음
"작업자의 정기적인 건강 검진 실시와 어깨 부담 경감을 위한 작업 자세 교육 강화를 포함한 재발 방지 대책을 마련하고, 향후 유사 사고 예방을 위한 안전 매뉴얼 업데이트와 현장 감독 강화를 실시합니다.",근로자 스트레칭 실시와 고령근로자 건강관리 철저.,현대스틸산업 소속 근로자로서 해상 잭업바지(챌린저호)에서 도비공 업무를 정상적으로 수행중 2022년7월15일 즈음에 우측어깨 통증을 느껴 병원방문후 진단결과 회전근개 인대파열로 진단받고 산재보험 신청함.근로복지공단 질병판정위원회의 확인을 거쳐 2023년2월21일 산업재해 승인 받음.,질병
가설 분전함 설치 의무화 및 안전 통로 지정 강화.,현장 내 가설 분전함 추가 설치와 지정된 통로 사용을 위한 관리감독 및 교육 실시와 현장 관리감독 철저 지시.,- 작업장소 주변 가설 분전함 미설치 및 지정된 통로가 아닌 시스템 동바리를 통해 이동,떨어짐(2미터 미만)
작업자 안전 교육 강화 및 안전 수칙 준수 점검 강화 실시.,현장 작업 시 안전교육과 작업자 안전관리 교육의 철저함.,작업자 부주의,화상
강관비계 주변에 안전 경계 설치 및 작업자들에게 주의 교육 강화를 통해 부주의한 부딪힘 사고 예방. 정기적인 안전 점검 실시로 위험 요소 조기 발견 및 개선.,"작업자 안전교육 및 강관비계 파이프커버 설치, TBM 활동 철저, 작업 전후 정리정돈 철저에 대한 안전관리 강화.","가설 강관비계가 설치된 공간에서 이동중, 부주의로 인해 강관비계에 부딪힘",부딪힘
안전고리 체결 의무화 및 정기적인 안전 점검 실시.,보 거푸집 하부 서포트 고정상태 확인 후 상부 이동 작업 실시와 안전관리 철저 및 교육 실시를 통한 재발 방지 대책 마련.,보 하부 거푸집 서포트 가고정 상태에서 안전고리 미체결한 상태로 이동 중 추락,떨어짐(2미터 이상 ~ 3미터 미만)
작업자 안전 교육 강화와 작업발판 안정성 점검을 통한 재발 방지 대책 수립. 향후 모든 고도 작업 시 안전 발판 설치 의무화 및 정기적인 안전 점검 실시 계획.,시공사 및 감리단의 재발 방지 대책 수립과 사고자 상태 모니터링 및 유사 사고 예방을 위한 교육 강화.,"일산정수장 2단계 여과지 정수유출밸브 설치 작업중, 작업자가 중심을 잃고 바닥으로 추락(약2m 높이)",떨어짐(분류불능)
안전 교육 강화 및 개인 건강 상태 모니터링 도입으로 재발 방지 대책을 마련합니다. 향후에는 정기적인 건강 검진을 통해 잠재적인 부상 위험을 사전에 감지하고 관리할 계획입니다.,작업 전 충분한 스트레칭 실시와 물리치료 실시를 통한 재발 방지 대책.,이동 중 계단 첫 답단 이동 중 종아리 근육통 발생,기타
안전 교육 강화와 개인 보호 장비(PPE) 사용 의무화를 통해 작업자 인식 제고 및 안전 수칙 준수 강화. 정기적인 안전 점검 실시로 장비 상태 유지 관리.,공구 등 관리 작업 철저에 대한 재발 방지 대책과 향후 조치 계획.,목재 절단 중 톱날에 오른쪽 손을 다침,"절단, 베임"
장갑 착용 의무화 및 정기적인 안전 교육 강화,작업 전 각 공종에 필요한 개인보호장구 착용 확인과 작업자 교육 실시.,작업시 작업자가 장갑 미착용으로 공구에 손가락이 끼여 골절된 사고,끼임
"안전 교육 강화와 개인 보호 장비 착용 의무화, 작업 전 자세 점검 실시.",높이 2m 이상인 고소작업에 대한 안전교육 및 위험예지 훈련과 수시 위험성 평가 실시.,지붕 판넬 철거작업 중 자세불량으로 균형을 읽고 추락,떨어짐(2미터 이상 ~ 3미터 미만)
작업자 안전 교육 강화와 발판 설치 의무화를 통한 향후 안전 점검 및 관리 강화 계획 수립.,"작업발판 설치, 안전한 작업방법 수립 및 교육, 작업지휘자 지정과 배치에 대한 조치 계획.",작업발판을 설치후 작업하여야 하나 사다리를 이용하여 작업 중 발생,떨어짐(2미터 이상 ~ 3미터 미만)
"이동식비계 사용 교육 강화 및 정기적인 안전 점검 실시를 통해 작업자들의 안전 의식 제고와 규정 준수를 확보합니다. 또한, 안전 감독자의 현장 상주를 통해 실시간 안전 관리 체계를 구축합니다.",안전활동 강화 및 시설물 점검을 통한 재발 방지 대책과 향후 조치 계획.,산업안전보건기준 제68조 이동식비계(틀비계) 사용기준 미숙지,떨어짐(2미터 미만)
작업자 교육 강화 및 표준 작업 절차 준수 점검 실시를 통한 재발 방지 대책 및 향후 조치 계획 수립.,안전교육 및 안전시설 설치에 대한 재발 방지 대책과 향후 조치 계획.,작업방법 미준수,끼임
"안전 교육 강화와 정기적인 안전 점검 실시를 통해 부주의로 인한 사고 재발을 방지하고, 사고 발생 시 신속한 대응 체계 구축으로 향후 유사 사고 예방에 힘쓰겠습니다.","작업 전후 근로자 건강상태 확인 및 안전교육 철저, 2인1조 작업 필수 점검을 통한 안전사고 예방.",작업 중 주변을 살피지 않는 등의 부주의로 인한 사고 발생,부딪힘
"작업자 대상 정기적인 허리 보호 교육 실시와 작업 전 허리 스트레칭 강화, 안전 장비(허리 보호대) 의무 착용 규정 마련.",현장 근로자 상황 전파 및 안전교육 실시와 중량물 자재 취급에 대한 교육 실시를 통한 재발 방지 대책 마련.,2023년 4월 8일 토요일 현장내 유로폼 운반을 위해 들어올리는 순간 허리 통증 발생,분류불능
안전 교육 강화 및 작업 절차 개선을 통해 안전 장비 사용 의무화 및 정기적인 안전 점검 실시.,트로리 협착 가능부분에 고무밴드 및 EVA폼을 부착하여 끼임사고 예방.,트로리에 의한 손가락 끼임,끼임
작업복 건조 시설 설치 및 고온 환경에서의 안전 지침 강화 교육 실시.,매일 작업 전 시행하는 체조 및 TBM을 철저하게 실시하고 근로자 휴식공간의 환기시설을 확충하여 온열질환과 안전사고 예방에 안전을 기할 계획.,무더위로 인한 땀으로 작업복이 젖어 움직임이 부자연스러운 상황에 중심을 잃음,넘어짐(미끄러짐)
천막 설치 시 고정 장치 사용 의무화 및 강풍 시 작업 중지 지침 마련. 정기적인 안전 교육 강화로 작업자들의 주의력 제고 및 현장 감독 강화를 통해 위험 요소 신속히 제거.,"안전관련 특별교육 실시, 바닥 틀 높이 10cm에서 5cm로 줄임, 천막 제거, 각재 틀에 적색 페인트칠 또는 웨빙띠 설치로 시인성 확보.",바닥에 깔린 천막틀이 바람에 날려 천막이 피재자의 오른쪽 다리에 들러 붙은 상태에서 왼쪽발을 꺾인 상태로 헛디딤,넘어짐(미끄러짐)
"안전 교육 강화와 계단실 바닥에 미끄럼 방지 장치 설치를 포함한 재발 방지 대책을 마련하고, 정기적인 안전 점검과 작업자 행동 모니터링을 통해 향후 조치 계획을 실행합니다.",작업전 스트레칭 및 수시 안전교육 실시를 통한 재발 방지 대책과 향후 조치 계획.,계단실에서 발을 헛디뎌 넘어짐,넘어짐(기타)
철근 고정 상태 점검 강화 및 안전 교육 실시.,철근작업 시 모든 묶음을 제거 후 시공하는 조치 계획.,철근이 박혀있는걸 들어올리면서 탄성으로 인하여 발생,부딪힘
"지반 상태 확인 및 안전한 이동 경로 확보를 위한 현장 점검 강화와 함께, 작업자들에게 안전장비 착용 의무화 및 경미한 부상 시 즉시 보고 체계 구축을 위한 정기적 안전 교육 실시. 향후에는 사고 발생 시 신속한 보고 시스템 개선과 함께, 작업 전 안전 점검 의무화를 통해 재발 방지에 주력할 계획입니다.",주의 작업 관리에 대한 재발 방지 대책과 향후 조치 계획.,"(주)에코프로머티리얼즈 RMP2 증축공사 공장동 지상 1층 건설현장에서 재해자  천**씨가 기초 철근 배근 작업을 위해 철근(D25mm / 길이 4m)을 어깨에 매고 지반이 평탄하지 못한 곳을 이동하던 중 중심을 잃고 요추에 무리가 간 상황에  관리자에게 보고를 하지 않고 작업종료 시까지 근무를 하다 ""요추의 염좌 및 긴장"" 진단을 받은 사고임.",기타
"안전교육 강화와 작업 공간의 안전 점검을 정기적으로 실시하며, 말비계 사용 시 안전 수칙 준수를 엄격히 관리하여 재발 방지.",사고 발생구간에 보양조치 및 이색 표시를 통한 사고 방지와 근로자의 안전의식 향상을 위한 TBM 및 특별안전교육 실시.,재해자가   지하5층 근린생활시설 계단실에서  유로폼 형틀 설치 작업 중 말비계에서  말비계에서 내려오던 중 발을 헛디뎌 우마 끝부분에 왼쪽 정강이를 충격하여 열상을 입음.,"절단, 베임"
가설안전난간대 위의 위험물품 정리 및 안전 교육 강화를 통한 재발 방지 대책 수립.,통로에 전선을 키높이 이상으로 띄워 거치하는 재발 방지 대책.,이동 중 가설안전난간대 위에 걸려있는 용접기 홀더 선에 걸려 넘어지면서 무릎 바닥에 부딪힘,넘어짐(물체에 걸림)
"안전 발판의 견고한 고정 및 점검 절차 강화, 작업자 안전 교육 강화 및 정기적인 안전 점검 실시.",작업자 안전교육 강화와 시스템 동바리 설치작업 중 관리자의 상주를 통한 특별안전교육 실시 및 공사 관계자 전파로 동일한 사고의 재발 방지.,시스템 동바리 설치작업 중 동바리 내 설치된 작업발판을 고정한 후 다음 발판을 설치하던 중 고정되지않은 발판을 밟아 2m 아래로 추락하여 갈비뼈에 금이 감,떨어짐(2미터 미만)
안전교육 강화와 아웃트리거 클램프 조임 상태 점검 절차 도입을 통한 재발 방지 대책 수립. 정기적인 안전 점검 및 작업자 의식 제고 활동 실시 예정.,"이동식 틀비계 아웃트리거 설치기준 교육 실시, 운반 전 기준 수립, 재해방지토론회 진행, 작업방법 및 설치기준 교육 실시, 변경점 발생 시 작업 시연회를 통한 추가 위험성 발굴.",이동식 틀비계 이동작업 중 부주의 및 틀비계에 고정하는 아웃트리거의 클램프 조임상태 부족,끼임
"수직 철근 설치 시 철근 간격과 높이를 엄격히 준수하고, 작업 중 안전 감독을 강화하여 철근의 불규칙한 배치를 방지하며, 작업자들에게 안전 교육을 정기적으로 실시하여 위험 요소 인식을 높입니다.",근로자 통행구간의 수직철근 찔림 방지 조치와 교육 철저를 통한 안전한 이동통로 확보.,"2022년 10월 19일 8시 55분경 108동 23층 엘리베이터 피트에서 CD전선관을 밖으로 꺼내고, 수직철근을 넘어오다가 밟고있던 슬라브 철근이 바닥으로 처져 수직철근에 우측 대퇴부가 찔림.",찔림
안전 교육 강화와 정기적인 안전 점검 실시를 통해 작업자의 주의력 향상 및 위험 요소 사전 제거 계획 수립.,작업자 안전 교육 실시와 안전사고 발생 원인 분석을 포함한 재발 방지 대책.,작업자 이동 중 발을 헛 디딤,넘어짐(기타)
안전 교육 강화와 정기적인 안전 점검 실시를 통해 거푸집 설치 및 해체 시 안전 절차 준수를 확보합니다.,시공품질관리 감독 철저와 지속점검을 통한 동일사고 재발 방지.,하단의 거푸집을 제거 하던 중 상단의 거푸집이 떨어지며 근로자 왼손에 부딪힘,물체에 맞음
장비 운전원 및 작업자 대상 정기적 안전 교육 강화와 안전 절차 준수 점검 강화를 통한 재발 방지 대책 및 향후 조치 계획 수립.,작업반경 내 접근금지 조치 및 경각심 강화를 통한 안전 교육 철저 시행과 작업 근로자 이행 여부 확인을 포함한 재발 방지 대책 수립.,장비 운전원 및 작업자 부주의,끼임
"작업자 안전 교육 강화와 함께, 동절기에는 바닥 미끄럼 방지 조치를 취하고 철근 보양캡 설치 의무화하여 재발 방지할 계획입니다.",현장 이동간 안전수칙 교육과 철근캡 보양 조치를 통한 동종재해 예방 및 찔림 방지와 외부 전문가의 안전점검을 통한 불안전 요소 제거 계획.,동절기 이동시 바닥이 미끄러워 넘어질 수 있음에도 사고기인물인 철근에 보양캡을 미설치하여 발생,넘어짐(물체에 걸림)
안전 발판 설치 강화와 철근 주변 안전 경계 설정으로 재발 방지 대책 마련. 정기적인 안전 점검 실시 계획 수립.,"소모되지 않는 철근 자재의 철근 받침대 적재와 수직철근 일자 보호캡 시공, 작업자 특별 교육 진행 및 철근 보호캡 시공 등 안전조치 지도가 포함된 재발 방지 대책.",철근에 걸려 넘어짐,넘어짐(물체에 걸림)
안전 구역 설정과 정기적인 안전 교육 강화를 통한 재발 방지 대책 및 향후 조치 계획 수립.,"TBM 철저, 안전시설물 정비, 개인 건강관리 철저, 관리감독 강화 및 위험성 평가 회의 철저에 대한 재발 방지 대책.",계단실 거푸집 조립작업 중 넘어져 벽에 어깨를 부딪힘.,부딪힘
